time,P,G(i),H_sun,T2m,WS10m,Int
20130106:0030,0,0,0,-8.69,0.9,0
20130106:0130,0,0,0,-9.83,0.9,0
20130106:0230,0,0,0,-10.97,0.97,0
20130106:0330,0,0,0,-11.57,0.83,0
20130106:0430,0,0,0,-13.18,1.52,0
20130106:0530,0,0,0,-11.99,1.93,0
20130106:0630,0,0,0,-11.44,1.93,0
20130106:0730,0,0,0,-11.15,2,0
20130106:0830,0,0,0,-10.69,1.93,0
20130106:0930,0,0,0,-10.26,1.79,0
20130106:1030,0,0,0,-9.81,1.59,0
20130106:1130,0,0,0,-9.37,1.45,0
20130106:1230,0,0,-1.47,-9.05,1.38,0
20130106:1330,43.78,24.84,6.93,-8.89,1.24,0
20130106:1430,167.2,95.39,13.89,-8.49,1.24,0
20130106:1530,223.52,128.43,18.93,-7.61,1.45,0
20130106:1630,229.84,132.93,21.6,-6.96,1.79,0
20130106:1730,221.62,128.08,21.6,-6.57,2.21,0
20130106:1830,146.52,85.34,18.93,-6.48,2.41,0
20130106:1930,89.3,52.29,13.89,-6.42,2.62,0
20130106:2030,55.16,32.15,6.93,-6.82,2.83,0
20130106:2130,0,0,-1.47,-7.26,3.1,0
20130106:2230,0,0,0,-7.71,3.38,0
20130106:2330,0,0,0,-8.03,3.59,0
20130107:0030,0,0,0,-8.24,3.66,0
20130107:0130,0,0,0,-8.32,3.52,0
20130107:0230,0,0,0,-8.42,3.45,0
20130107:0330,0,0,0,-8.6,3.38,0
20130107:0430,0,0,0,-8.9,3.45,0
20130107:0530,0,0,0,-9.41,3.59,0
20130107:0630,0,0,0,-10.09,3.24,0
20130107:0730,0,0,0,-10.26,2.97,0
20130107:0830,0,0,0,-10.68,2.9,0
20130107:0930,0,0,0,-11.39,2.48,0
20130107:1030,0,0,0,-12.09,2.21,0
20130107:1130,0,0,0,-13.04,2.07,0
20130107:1230,0,0,-1.44,-13.99,2,0
20130107:1330,1109.68,616.55,6.97,-14.84,2,0
20130107:1430,1354.88,762.11,13.96,-15.29,2,0
20130107:1530,1678.5,965.46,19.02,-15.23,1.93,0
20130107:1630,1669.02,965.71,21.72,-14.94,1.59,0
20130107:1730,1612.84,934.33,21.74,-14.38,1.38,0
20130107:1830,1682.82,981.58,19.08,-13.73,1.38,0
20130107:1930,1553.24,895.63,14.04,-13.3,1.52,0
