time,P,G(i),H_sun,T2m,WS10m,Int
20140927:0030,0,0,0,18.76,3.17,0
20140927:0130,0,0,0,17.87,3.03,0
20140927:0230,0,0,0,17.08,2.9,0
20140927:0330,0,0,0,16.39,2.83,0
20140927:0430,0,0,0,15.79,2.76,0
20140927:0530,0,0,0,15.29,2.69,0
20140927:0630,0,0,0,14.87,2.55,0
20140927:0730,0,0,0,14.46,2.62,0
20140927:0830,0,0,0,14.12,2.55,0
20140927:0930,0,0,0,13.88,2.55,0
20140927:1030,0,0,-3.68,13.65,2.55,0
20140927:1130,741.88,450.96,6.78,13.44,2.48,0
20140927:1230,1159.26,719.14,16.92,14.13,2,0
20140927:1330,1355.12,862.66,26.29,16.19,1.93,0
20140927:1430,1435,935.04,34.28,18.18,1.59,0
20140927:1530,1469.2,971.14,40.08,19.92,1.52,0
20140927:1630,1479.96,984.84,42.79,21.43,1.66,0
20140927:1730,1474.92,982.05,41.85,22.64,1.93,0
20140927:1830,1446.02,958.97,37.46,23.55,2.21,0
20140927:1930,1390.5,912.26,30.43,24.7,2.9,0
20140927:2030,1262.48,817.69,21.65,24.89,2.97,0
20140927:2130,981.68,625.51,11.83,24.49,2.55,0
20140927:2230,0.52,5.94,1.47,23.13,2.62,0
20140927:2330,0,0,0,21.31,2.9,0
20140928:0030,0,0,0,20.18,2.97,0
20140928:0130,0,0,0,19.34,2.83,0
20140928:0230,0,0,0,18.56,2.62,0
20140928:0330,0,0,0,17.85,2.55,0
20140928:0430,0,0,0,17.26,2.55,0
20140928:0530,0,0,0,16.77,2.55,0
20140928:0630,0,0,0,16.36,2.62,0
20140928:0730,0,0,0,15.9,2.62,0
20140928:0830,0,0,0,15.59,2.69,0
20140928:0930,0,0,0,15.34,2.69,0
20140928:1030,0,0,-3.9,15.12,2.76,0
20140928:1130,724.86,442.46,6.56,14.93,2.83,0
20140928:1230,1151.3,713.29,16.69,15.47,2.69,0
20140928:1330,1369.28,861.57,26.03,17.19,3.52,0
20140928:1430,1463.78,936.02,33.98,18.7,3.45,0
20140928:1530,1503.56,972.19,39.74,20.33,3.52,0
20140928:1630,1505.52,978.69,42.41,21.82,3.72,0
20140928:1730,1424.36,921.85,41.45,23.01,4.07,0
20140928:1830,1403.3,905.76,37.07,23.69,4.41,0
20140928:1930,1407.34,909.79,30.06,24.25,4.34,0
20140928:2030,1310.06,840.14,21.3,24.13,4.14,0
20140928:2130,1028.84,649.88,11.48,23.52,3.52,0
20140928:2230,0.5,5.43,1.14,22.11,3.45,0
20140928:2330,0,0,0,20.42,3.31,0
20140929:0030,0,0,0,19.25,3.24,0
20140929:0130,0,0,0,18.35,3.1,0
20140929:0230,0,0,0,17.58,2.83,0
20140929:0330,0,0,0,16.97,2.62,0
20140929:0430,0,0,0,16.48,2.62,0
20140929:0530,0,0,0,16.14,2.48,0
20140929:0630,0,0,0,15.88,2.07,0
20140929:0730,0,0,0,15.5,1.79,0
20140929:0830,0,0,0,15.23,1.45,0
20140929:0930,0,0,0,15.08,0.9,0
20140929:1030,0,0,-4.12,15.47,1.45,0
20140929:1130,108.6,77.75,6.34,15.62,2.34,0
20140929:1230,434.6,272.3,16.45,16.09,2.9,0
20140929:1330,215.18,144.16,25.76,16.56,3.52,0
20140929:1430,457.1,285.94,33.67,16.33,3.86,0
20140929:1530,431.64,272.38,39.39,16.58,4.62,0
20140929:1630,334.08,217.16,42.02,16.61,4.55,0
20140929:1730,409.12,260.69,41.05,16.39,4.34,0
20140929:1830,370.54,237.55,36.68,16.24,4.14,0
20140929:1930,320.1,206.29,29.68,16.69,3.93,0
20140929:2030,716.92,437.67,20.94,15.7,4.21,0
20140929:2130,587.5,358.15,11.14,14.94,4.48,0
20140929:2230,1.78,4.17,0.8,13.91,4.34,0
20140929:2330,0,0,0,12.9,4.07,0
20140930:0030,0,0,0,12.33,3.86,0
20140930:0130,0,0,0,11.99,3.52,0
20140930:0230,0,0,0,11.78,3.17,0
20140930:0330,0,0,0,11.7,2.97,0
20140930:0430,0,0,0,11.6,2.69,0
20140930:0530,0,0,0,11.62,2.48,0
20140930:0630,0,0,0,11.77,2.48,0
20140930:0730,0,0,0,10.95,2.34,0
20140930:0830,0,0,0,11.22,2.34,0
20140930:0930,0,0,0,11.37,2.34,0
20140930:1030,0,0,-4.34,11.55,2.55,0
20140930:1130,95.7,66.77,6.12,11.77,2.55,0
20140930:1230,326.46,204.33,16.21,12.19,2.69,0
20140930:1330,391,244.69,25.49,13.11,2.97,0
20140930:1430,415.66,260.93,33.37,14.32,3.24,0
20140930:1530,510.46,320.92,39.04,15.31,3.1,0
20140930:1630,624.8,390.78,41.64,16.49,2.9,0
20140930:1730,661.58,415.12,40.65,17.42,2.83,0
20140930:1830,407.62,263.25,36.29,18.19,2.83,0
20140930:1930,328.24,212.93,29.31,16.89,3.17,0
20140930:2030,419.14,264.3,20.58,16.48,3.72,0
20140930:2130,500.76,308.66,10.8,15.69,4.14,0
20140930:2230,1.52,4.15,0.46,14.85,3.93,0
20140930:2330,0,0,0,14.14,4,0
20141001:0030,0,0,0,13.58,4,0
20141001:0130,0,0,0,13.24,3.93,0
20141001:0230,0,0,0,12.94,3.72,0
20141001:0330,0,0,0,12.7,3.52,0
20141001:0430,0,0,0,12.4,3.31,0
20141001:0530,0,0,0,12.17,3.17,0
20141001:0630,0,0,0,11.94,3.03,0
20141001:0730,0,0,0,11.3,3.03,0
20141001:0830,0,0,0,11.23,3.1,0
20141001:0930,0,0,0,11.08,3.1,0
20141001:1030,0,0,0,11.09,2.97,0
20141001:1130,376.62,230.74,5.89,10.94,2.9,0
20141001:1230,745.74,448.87,15.97,11.31,2.97,0
20141001:1330,869.12,524.65,25.22,12.32,3.52,0
20141001:1430,961.56,585.33,33.06,13.43,3.45,0
20141001:1530,1021.56,628.39,38.69,14.53,3.24,0
20141001:1630,1131.28,702.78,41.26,15.83,3.24,0
20141001:1730,857.34,533.36,40.26,16.92,3.1,0
20141001:1830,401.66,259.36,35.9,17.58,2.97,0
20141001:1930,339.86,219.31,28.94,15.99,3.24,0
20141001:2030,304.9,197.05,20.23,16.07,3.24,0
20141001:2130,207.88,137.81,10.45,15.76,3.1,0
20141001:2230,0.08,2.28,0.12,15.3,2.69,0
20141001:2330,0,0,0,14.68,2.62,0
20141002:0030,0,0,0,14.19,2.69,0
20141002:0130,0,0,0,13.59,2.48,0
20141002:0230,0,0,0,13.25,2.48,0
20141002:0330,0,0,0,12.94,2.48,0
20141002:0430,0,0,0,12.77,2.34,0
20141002:0530,0,0,0,12.53,2.34,0
20141002:0630,0,0,0,12.17,2.34,0
20141002:0730,0,0,0,11.36,2.69,0
20141002:0830,0,0,0,11.1,2.76,0
20141002:0930,0,0,0,11.01,2.62,0
20141002:1030,0,0,0,10.77,2.48,0
20141002:1130,645.08,388.47,5.67,10.56,2.34,0
20141002:1230,991.04,600.65,15.72,10.96,2.34,0
20141002:1330,1108.86,677.67,24.95,12.22,2.62,0
20141002:1430,1302.56,811.21,32.75,13.63,2.62,0
20141002:1530,1457.12,929.04,38.34,15.23,2.34,0
20141002:1630,1570.08,1023.87,40.87,16.88,2.28,0
20141002:1730,1457.38,938.6,39.86,18.4,2.76,0
20141002:1830,763.28,479.3,35.51,19.25,2.55,0
20141002:1930,357.16,233.75,28.56,18.65,1.66,0
20141002:2030,384.44,247.9,19.87,18.53,1.59,0
20141002:2130,120.92,87.98,10.11,18.22,1.93,0
20141002:2230,0,0,-0.21,17.44,2.14,0
20141002:2330,0,0,0,16.61,2.69,0
20141003:0030,0,0,0,15.76,2.62,0
20141003:0130,0,0,0,15.12,2.34,0
20141003:0230,0,0,0,14.55,2.14,0
20141003:0330,0,0,0,14.02,2.07,0
20141003:0430,0,0,0,13.64,2,0
20141003:0530,0,0,0,13.28,1.93,0
20141003:0630,0,0,0,12.98,1.79,0
20141003:0730,0,0,0,12.38,1.93,0
20141003:0830,0,0,0,12.37,1.79,0
20141003:0930,0,0,0,12.38,1.86,0
20141003:1030,0,0,0,12.35,2.07,0
20141003:1130,499.14,304.66,5.44,12.28,2.21,0
20141003:1230,804.66,490.75,15.48,13.02,2,0
20141003:1330,1220.46,761.18,24.68,14.85,2.28,0
20141003:1430,1241.48,778.63,32.44,16.75,2.76,0
20141003:1530,1388.56,884.16,37.99,18.28,3.1,0
20141003:1630,1463.34,938.9,40.49,19.68,3.59,0
20141003:1730,1535.94,989.95,39.46,20.68,4.28,0
20141003:1830,1497.82,960.99,35.12,21.39,4.69,0
20141003:1930,1424.46,906.35,28.19,21.45,4.9,0
20141003:2030,1268.22,798.1,19.52,21.52,4.83,0
20141003:2130,947.62,588.64,9.78,21.03,4.34,0
20141003:2230,0,0,-0.54,19.92,4.14,0
20141003:2330,0,0,0,18.75,4,0
20141004:0030,0,0,0,17.92,4.28,0
20141004:0130,0,0,0,17.27,4.21,0
20141004:0230,0,0,0,16.5,4.07,0
20141004:0330,0,0,0,15.82,4.14,0
20141004:0430,0,0,0,15.25,4.34,0
20141004:0530,0,0,0,14.76,4.55,0
20141004:0630,0,0,0,14.39,4.55,0
20141004:0730,0,0,0,14.72,4.76,0
20141004:0830,0,0,0,14.53,4.83,0
20141004:0930,0,0,0,14.16,4.83,0
20141004:1030,0,0,0,13.57,5.03,0
20141004:1130,0.98,2.73,5.21,12.08,5.24,0
20141004:1230,13.1,13.44,15.24,12.03,5.31,0
20141004:1330,42.34,34.15,24.41,12.13,5.03,0
20141004:1430,50.38,39.62,32.13,12.4,4.62,0
20141004:1530,55.02,42.93,37.64,12.66,4.34,0
20141004:1630,84.5,62.16,40.11,12.9,4.14,0
20141004:1730,46.6,37.71,39.07,13.21,4.07,0
20141004:1830,38.92,32.54,34.73,13.25,3.93,0
20141004:1930,33.14,28.47,27.82,13.09,3.79,0
20141004:2030,8.74,10.4,19.17,13.14,3.66,0
20141004:2130,1.7,3.85,9.44,13.13,3.66,0
20141004:2230,0,0,-0.87,13.15,3.59,0
20141004:2330,0,0,0,13.08,3.79,0
20141005:0030,0,0,0,12.78,4.34,0
20141005:0130,0,0,0,12.41,4.55,0
20141005:0230,0,0,0,11.89,4.34,0
20141005:0330,0,0,0,11.38,4.21,0
20141005:0430,0,0,0,10.92,3.86,0
20141005:0530,0,0,0,10.48,4,0
20141005:0630,0,0,0,10.05,3.93,0
20141005:0730,0,0,0,9.77,3.72,0
20141005:0830,0,0,0,9.45,3.66,0
20141005:0930,0,0,0,9.17,3.66,0
20141005:1030,0,0,0,8.94,3.79,0
20141005:1130,123.58,81.05,4.98,8.66,4.07,0
20141005:1230,679.56,404.74,14.99,8.61,4.07,0
20141005:1330,1418.5,857.29,24.13,9.01,4.83,0
20141005:1430,1405.2,850.19,31.82,9.93,5.17,0
20141005:1530,1385.18,841.71,37.29,10.91,5.17,0
20141005:1630,1319.28,802.13,39.73,11.94,5.24,0
20141005:1730,1025,619.93,38.68,12.88,5.52,0
20141005:1830,580.3,353.63,34.35,13.18,5.66,0
20141005:1930,850.34,512.57,27.46,12.54,4.69,0
20141005:2030,1142.72,693.21,18.82,12.51,4.21,0
20141005:2130,792.82,477.7,9.1,12.57,3.86,0
20141005:2230,0,0,-1.2,12.17,2.97,0
20141005:2330,0,0,0,11.55,2.55,0
20141006:0030,0,0,0,10.98,2.76,0
20141006:0130,0,0,0,10.5,3.1,0
20141006:0230,0,0,0,10.13,3.31,0
20141006:0330,0,0,0,9.87,3.31,0
20141006:0430,0,0,0,9.47,3.17,0
20141006:0530,0,0,0,9.28,2.97,0
20141006:0630,0,0,0,9.07,2.55,0
20141006:0730,0,0,0,8.65,2.41,0
20141006:0830,0,0,0,8.3,2.41,0
20141006:0930,0,0,0,8.25,2.55,0
20141006:1030,0,0,0,8,2.76,0
20141006:1130,622.58,369.87,4.75,7.89,2.83,0
20141006:1230,1019.86,610.03,14.74,8.38,2.9,0
20141006:1330,1392.88,853.47,23.86,9.7,3.24,0
20141006:1430,1545.86,961.68,31.51,11.38,3.72,0
20141006:1530,1592.64,998.49,36.94,12.9,4.07,0
20141006:1630,1620.26,1021.56,39.35,14.24,4.34,0
20141006:1730,1576.2,991.66,38.29,15.34,4.76,0
20141006:1830,494.3,308.55,33.96,16.17,4.97,0
20141006:1930,278.8,181.12,27.09,15.42,3.72,0
20141006:2030,199.86,132.8,18.47,15.01,3.52,0
20141006:2130,321.52,202.76,8.77,14.85,3.59,0
20141006:2230,0,0,-1.53,14.75,3.45,0
20141006:2330,0,0,0,14.42,3.79,0
20141007:0030,0,0,0,14.24,4,0
20141007:0130,0,0,0,13.87,3.86,0
20141007:0230,0,0,0,13.42,4,0
20141007:0330,0,0,0,13.48,4.69,0
20141007:0430,0,0,0,13.94,5.24,0
20141007:0530,0,0,0,13.84,4.97,0
20141007:0630,0,0,0,13.59,4.97,0
20141007:0730,0,0,0,13.75,6,0
20141007:0830,0,0,0,13.5,5.93,0
20141007:0930,0,0,0,13.25,5.52,0
20141007:1030,0,0,0,13.1,5.38,0
20141007:1130,31.64,26.66,4.53,13,5.24,0
20141007:1230,21.54,20.3,14.5,13.26,5.17,0
20141007:1330,19.76,18.59,23.58,12.47,5.1,0
20141007:1430,191.14,125.67,31.2,12.67,4.69,0
20141007:1530,956.88,581.14,36.59,13.3,4.14,0
20141007:1630,848.14,518.7,38.97,15.67,4.41,0
20141007:1730,762.12,470.16,37.9,16.93,4.34,0
20141007:1830,1389.76,877.87,33.58,17.46,3.59,0
20141007:1930,821.24,507.54,26.73,18.64,3.93,0
20141007:2030,566.5,352.74,18.13,17.38,3.03,0
20141007:2130,402.18,253.89,8.44,17.15,3.03,0
20141007:2230,0,0,-1.85,16.27,2.69,0
20141007:2330,0,0,0,15.14,2.34,0
20141008:0030,0,0,0,14.21,2.28,0
20141008:0130,0,0,0,13.38,2.28,0
20141008:0230,0,0,0,12.76,2.62,0
20141008:0330,0,0,0,12.45,2.62,0
20141008:0430,0,0,0,12.32,2.69,0
20141008:0530,0,0,0,12.56,2.83,0
20141008:0630,0,0,0,12.8,3.24,0
20141008:0730,0,0,0,12.96,3.79,0
20141008:0830,0,0,0,13.01,3.66,0
20141008:0930,0,0,0,12.09,3.1,0
20141008:1030,0,0,0,12.28,2.69,0
20141008:1130,0.68,2.42,4.29,12.4,2.41,0
20141008:1230,42.26,33.86,14.25,12.59,3.38,0
20141008:1330,187.5,124,23.31,13.22,5.03,0
20141008:1430,787.76,473.46,30.89,13.48,6.21,0
20141008:1530,971.26,588.5,36.24,14.13,6,0
20141008:1630,1093.92,665.57,38.59,15.24,5.93,0
20141008:1730,1337.02,815.3,37.51,15.2,6.9,0
20141008:1830,1276.28,775.68,33.2,15.46,7.03,0
20141008:1930,954.86,576.34,26.37,16.05,7.38,0
20141008:2030,758.6,456.42,17.78,14,6.14,0
20141008:2130,582.72,352.1,8.11,13.86,6,0
20141008:2230,0,0,-2.17,13.53,6.41,0
20141008:2330,0,0,0,12.97,6.41,0
20141009:0030,0,0,0,12.45,6.48,0
20141009:0130,0,0,0,11.79,6.34,0
20141009:0230,0,0,0,11.22,6,0
20141009:0330,0,0,0,10.69,5.79,0
20141009:0430,0,0,0,10.06,5.93,0
20141009:0530,0,0,0,9.53,5.79,0
20141009:0630,0,0,0,9.07,5.38,0
20141009:0730,0,0,0,8.61,4.9,0
20141009:0830,0,0,0,8.3,4.76,0
20141009:0930,0,0,0,7.93,4.76,0
20141009:1030,0,0,0,7.63,4.76,0
20141009:1130,623.16,366.24,4.06,7.35,4.97,0
20141009:1230,1172.46,695.1,14,7.41,4.83,0
20141009:1330,1412.48,844.21,23.03,8.04,5.86,0
20141009:1430,1537.14,927.36,30.57,8.98,6.28,0
20141009:1530,1318.82,789.83,35.89,10.18,6.69,0
20141009:1630,1261.46,756.12,38.21,11.09,6.97,0
20141009:1730,1341.52,806.39,37.12,11.63,7.52,0
20141009:1830,413.54,255.55,32.82,11.86,7.86,0
20141009:1930,641.4,384.22,26.01,10.09,6.07,0
20141009:2030,649.04,386.86,17.44,10.25,6.34,0
20141009:2130,849.5,503.15,7.78,9.96,5.66,0
20141009:2230,0,0,-2.49,9.33,6.28,0
20141009:2330,0,0,0,8.9,5.24,0
20141010:0030,0,0,0,8.72,4.83,0
20141010:0130,0,0,0,8.54,4.69,0
20141010:0230,0,0,0,8.36,4.62,0
20141010:0330,0,0,0,8.34,4.69,0
20141010:0430,0,0,0,8.21,4.76,0
20141010:0530,0,0,0,8.04,4.76,0
20141010:0630,0,0,0,7.81,4.76,0
20141010:0730,0,0,0,7.28,5.03,0
20141010:0830,0,0,0,7.07,4.97,0
20141010:0930,0,0,0,6.91,4.76,0
20141010:1030,0,0,0,6.76,4.41,0
20141010:1130,687.62,403.37,3.83,6.51,4.07,0
20141010:1230,1230.66,732.79,13.75,6.69,4,0
20141010:1330,1484.72,898.46,22.75,7.73,4.48,0
20141010:1430,1249.76,748.25,30.26,9.11,5.31,0
20141010:1530,1177.94,707.41,35.54,10.26,5.24,0
20141010:1630,792.14,475.87,37.83,11.19,5.17,0
20141010:1730,567.36,345.5,36.73,11.61,5.03,0
20141010:1830,712.74,428.27,32.45,11.67,4.97,0
20141010:1930,664.52,400,25.65,11.65,4.83,0
20141010:2030,740.06,444.4,17.1,11.65,4.62,0
20141010:2130,355.82,219.53,7.45,11.57,4.07,0
20141010:2230,0,0,-2.81,10.97,3.1,0
20141010:2330,0,0,0,10.38,2.55,0
20141011:0030,0,0,0,9.67,2.21,0
20141011:0130,0,0,0,9.09,2.07,0
20141011:0230,0,0,0,8.53,1.93,0
20141011:0330,0,0,0,7.97,1.93,0
20141011:0430,0,0,0,7.52,1.86,0
20141011:0530,0,0,0,6.93,1.79,0
20141011:0630,0,0,0,6.5,1.79,0
20141011:0730,0,0,0,6.01,1.31,0
20141011:0830,0,0,0,6.63,0.97,0
20141011:0930,0,0,0,7.44,0.55,0
20141011:1030,0,0,0,7.35,0.34,0
20141011:1130,289.12,177.9,3.6,7.28,0,0
20141011:1230,533.92,323.07,13.5,7.31,0.21,0
20141011:1330,1154.48,713.63,22.47,7.99,0.28,0
20141011:1430,1178.7,734.59,29.95,9.56,0.34,0
20141011:1530,1014,622.61,35.19,10.53,1.1,0
20141011:1630,1214.92,753.33,37.46,11.01,1.66,0
20141011:1730,1065.92,653.23,36.35,11.53,2.07,0
20141011:1830,1011.8,616.89,32.07,11.67,2.48,0
20141011:1930,1014.3,616.91,25.29,11.78,2.62,0
20141011:2030,787.72,476.64,16.77,11.86,2.69,0
20141011:2130,522.88,317.81,7.13,11.63,2.69,0
20141011:2230,0,0,-3.12,10.86,2.55,0
20141011:2330,0,0,0,10.03,2.55,0
20141012:0030,0,0,0,9.42,2.55,0
20141012:0130,0,0,0,8.72,2.34,0
20141012:0230,0,0,0,8.11,2.28,0
20141012:0330,0,0,0,7.55,2.21,0
20141012:0430,0,0,0,7.09,2.14,0
20141012:0530,0,0,0,6.69,2.14,0
20141012:0630,0,0,0,6.31,2.14,0
20141012:0730,0,0,0,6.01,2.34,0
20141012:0830,0,0,0,5.67,2.28,0
20141012:0930,0,0,0,5.35,2.28,0
20141012:1030,0,0,0,5.09,2.21,0
20141012:1130,654.02,384.43,3.36,4.86,2.07,0
20141012:1230,1160.46,695.52,13.25,5,1.86,0
20141012:1330,1417.96,873.8,22.2,6.62,1.72,0
20141012:1430,1523.74,957,29.63,8.38,1.72,0
20141012:1530,1574,998.88,34.84,9.76,1.86,0
20141012:1630,1570.54,999.19,37.08,10.76,2,0
20141012:1730,1563.68,997.12,35.97,11.49,2,0
20141012:1830,1527.5,973.05,31.7,12.01,1.93,0
20141012:1930,1455.94,917.59,24.94,12.56,2.28,0
20141012:2030,1276.36,791.52,16.43,12.61,2.28,0
20141012:2130,886.98,538.94,6.81,12.32,2.14,0
20141012:2230,0,0,-3.43,11.42,1.72,0
20141012:2330,0,0,0,10.25,1.66,0
20141013:0030,0,0,0,9.08,1.79,0
20141013:0130,0,0,0,8.25,2.07,0
20141013:0230,0,0,0,7.72,2.21,0
20141013:0330,0,0,0,7.28,2.14,0
20141013:0430,0,0,0,6.72,2,0
20141013:0530,0,0,0,6.09,1.86,0
20141013:0630,0,0,0,5.85,1.72,0
20141013:0730,0,0,0,5.2,2,0
20141013:0830,0,0,0,4.88,1.93,0
20141013:0930,0,0,0,4.63,1.86,0
20141013:1030,0,0,0,4.71,1.79,0
20141013:1130,676.02,397.74,3.13,4.72,1.72,0
20141013:1230,1177.18,708.48,12.99,5.13,1.59,0
20141013:1330,1403.12,873.97,21.92,8.07,1.31,0
20141013:1430,1527.68,970.63,29.32,10.34,1.59,0
20141013:1530,1547.54,993.85,34.49,12.29,1.66,0
20141013:1630,1553.92,1005.66,36.71,13.96,1.72,0
20141013:1730,1325.5,839.07,35.59,15.25,2,0
20141013:1830,1139.8,713.79,31.33,16.02,2.34,0
20141013:1930,674.7,420.11,24.59,16.46,2.41,0
20141013:2030,170.9,118.23,16.1,16.42,2.28,0
20141013:2130,166.5,112.61,6.5,15.48,2,0
20141013:2230,0,0,-3.74,14.11,2.62,0
20141013:2330,0,0,0,13.05,2.9,0
20141014:0030,0,0,0,12.63,3.03,0
20141014:0130,0,0,0,12.45,3.03,0
20141014:0230,0,0,0,12.48,2.76,0
20141014:0330,0,0,0,12.65,2.76,0
20141014:0430,0,0,0,12.67,2.76,0
20141014:0530,0,0,0,12.56,2.69,0
20141014:0630,0,0,0,12.47,2.48,0
20141014:0730,0,0,0,12.77,2.07,0
20141014:0830,0,0,0,12.49,2.07,0
20141014:0930,0,0,0,12.11,2.28,0
20141014:1030,0,0,0,11.88,2.62,0
20141014:1130,336.9,208.29,2.89,11.85,2.62,0
20141014:1230,291.18,183.7,12.74,12.22,2.48,0
20141014:1330,772.1,471.29,21.64,13.35,2.41,0
20141014:1430,1022.22,628.51,29.01,15.23,2.97,0
20141014:1530,1257.92,787.98,34.14,16.94,3.17,0
20141014:1630,1304.84,825.93,36.34,18.79,3.38,0
20141014:1730,1246.66,787.91,35.21,20.4,3.72,0
20141014:1830,1237.36,784.6,30.97,21.56,3.72,0
20141014:1930,928,585.26,24.24,23.61,3.79,0
20141014:2030,620.02,393.53,15.77,23.54,3.17,0
20141014:2130,573.8,362.52,6.18,22.52,3.59,0
20141014:2230,0,0,-4.05,21.15,4.14,0
20141014:2330,0,0,0,20.09,4.28,0
20141015:0030,0,0,0,19.34,4.28,0
20141015:0130,0,0,0,18.75,4,0
20141015:0230,0,0,0,18.39,3.72,0
20141015:0330,0,0,0,18.23,3.38,0
20141015:0430,0,0,0,17.92,3.31,0
20141015:0530,0,0,0,17.69,3.24,0
20141015:0630,0,0,0,17.27,3.1,0
20141015:0730,0,0,0,17.82,2.62,0
20141015:0830,0,0,0,17.49,2.48,0
20141015:0930,0,0,0,17.21,2.55,0
20141015:1030,0,0,0,17.06,2.55,0
20141015:1130,4.84,8.42,2.66,17.07,2.55,0
20141015:1230,186.18,127.17,12.49,17.34,2.62,0
20141015:1330,321.24,209.47,21.35,18.44,2.55,0
20141015:1430,532.04,337.73,28.69,19.66,2.76,0
20141015:1530,378.5,247.99,33.8,21.07,3.1,0
20141015:1630,272.66,186.09,35.97,21.69,3.03,0
20141015:1730,259.34,178.18,34.84,22.03,2.83,0
20141015:1830,235.66,163.38,30.6,22.15,3.03,0
20141015:1930,134.74,101,23.9,22.49,3.38,0
20141015:2030,34.54,34.62,15.45,21.78,3.24,0
20141015:2130,128.98,94.33,5.87,21.33,3.31,0
20141015:2230,0,0,-4.35,20.97,3.31,0
20141015:2330,0,0,0,20.54,2.83,0
20141016:0030,0,0,0,20.17,2.41,0
20141016:0130,0,0,0,19.8,2.34,0
20141016:0230,0,0,0,19.53,2.34,0
20141016:0330,0,0,0,19.37,2.48,0
20141016:0430,0,0,0,19.11,2.83,0
20141016:0530,0,0,0,17.77,3.24,0
20141016:0630,0,0,0,17.73,3.52,0
20141016:0730,0,0,0,17.23,2.07,0
20141016:0830,0,0,0,17.14,2.07,0
20141016:0930,0,0,0,17.17,2.21,0
20141016:1030,0,0,0,17.21,2.21,0
20141016:1130,35.46,31.58,2.42,17.38,2.21,0
20141016:1230,12.32,15.26,12.23,17.59,2.41,0
20141016:1330,32.82,31.01,21.07,18.04,2.83,0
20141016:1430,88.64,68.61,28.38,18.44,3.17,0
20141016:1530,78.7,62.93,33.45,18.93,3.38,0
20141016:1630,70.92,57.93,35.6,19.12,3.38,0
20141016:1730,113.72,85.7,34.46,19.13,3.52,0
20141016:1830,131,96.18,30.24,19.34,3.93,0
20141016:1930,135.12,98.48,23.55,19.09,3.93,0
20141016:2030,49.24,43.58,15.12,19.66,3.79,0
20141016:2130,3.9,8.6,5.57,19.94,3.93,0
20141016:2230,0,0,0,19.81,4.14,0
20141016:2330,0,0,0,18.99,4,0
20141017:0030,0,0,0,18.72,4.48,0
20141017:0130,0,0,0,18.96,5.1,0
20141017:0230,0,0,0,18.71,4.76,0
20141017:0330,0,0,0,17.99,3.66,0
20141017:0430,0,0,0,17.16,3.03,0
20141017:0530,0,0,0,16.52,2.28,0
20141017:0630,0,0,0,15.76,2,0
20141017:0730,0,0,0,14.68,1.93,0
20141017:0830,0,0,0,14.33,1.79,0
20141017:0930,0,0,0,14.17,1.79,0
20141017:1030,0,0,0,13.98,2.21,0
20141017:1130,2.06,4.48,2.19,13.92,2.97,0
20141017:1230,126.46,87.41,11.98,13.82,3.31,0
20141017:1330,582.92,357.09,20.79,14.02,3.66,0
20141017:1430,795.92,483.03,28.07,14.61,4.48,0
20141017:1530,839.58,511.41,33.11,15.28,4.55,0
20141017:1630,1301.42,803.51,35.23,15.76,4.9,0
20141017:1730,1287.32,792.35,34.09,17.01,5.79,0
20141017:1830,1292.62,797.65,29.88,17.49,5.93,0
20141017:1930,949.48,580.02,23.22,17.76,5.72,0
20141017:2030,498.92,310.07,14.81,17.59,5.03,0
20141017:2130,159.3,108.17,5.26,16.57,5.17,0
20141017:2230,0,0,0,15.86,4.97,0
20141017:2330,0,0,0,15.43,4.83,0
20141018:0030,0,0,0,15.16,4.69,0
20141018:0130,0,0,0,14.93,4.07,0
20141018:0230,0,0,0,14.83,3.52,0
20141018:0330,0,0,0,14.62,3.03,0
20141018:0430,0,0,0,14.24,2.9,0
20141018:0530,0,0,0,14.08,2.76,0
20141018:0630,0,0,0,14.09,2.69,0
20141018:0730,0,0,0,13.76,2.76,0
20141018:0830,0,0,0,13.9,3.17,0
20141018:0930,0,0,0,13.88,2.9,0
20141018:1030,0,0,0,13.49,2.69,0
20141018:1130,3.82,6.09,1.95,13.23,2.62,0
20141018:1230,551.08,336.5,11.72,13.1,2.69,0
20141018:1330,817.54,499.47,20.51,13.82,2.41,0
20141018:1430,833.56,510.32,27.75,14.81,2.97,0
20141018:1530,613.3,378.94,32.76,15.42,3.24,0
20141018:1630,488.44,307.25,34.87,15.63,2.97,0
20141018:1730,278.06,182.44,33.73,15.32,3.31,0
20141018:1830,683.22,420.88,29.53,14.43,2.9,0
20141018:1930,379.32,238.31,22.88,14.8,3.59,0
20141018:2030,337.24,212.14,14.49,14.01,3.66,0
20141018:2130,146.9,98.06,4.96,13.24,4.62,0
20141018:2230,0,0,0,12.06,5.24,0
20141018:2330,0,0,0,11.12,5.1,0
20141019:0030,0,0,0,10.5,4.83,0
20141019:0130,0,0,0,9.99,4.76,0
20141019:0230,0,0,0,9.44,4.76,0
20141019:0330,0,0,0,8.88,4.9,0
20141019:0430,0,0,0,8.38,5.17,0
20141019:0530,0,0,0,7.92,5.03,0
20141019:0630,0,0,0,7.56,4.69,0
20141019:0730,0,0,0,6.79,4.34,0
20141019:0830,0,0,0,6.46,4.41,0
20141019:0930,0,0,0,6.23,4.55,0
20141019:1030,0,0,0,6.06,4.62,0
